,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1920-1929,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1960-1969,23,0,9,15,2,0,6,2,0,0,2,2,2,0,0,15,1,0,0,1,0,0,0,1,30,22,5,0,0,1,0,1,0,0,0,1,0,6,20,30,12,0,0,0,12,0,0,0
1970-1979,14,0,5,5,2,2,2,1,0,0,2,1,1,2,2,15,2,2,0,0,0,0,0,10,25,24,2,1,4,1,0,1,0,0,2,0,1,1,5,17,5,0,3,0,3,0,0,1
1980-1989,47,0,24,39,9,4,13,17,0,0,25,10,10,9,9,16,5,10,0,3,0,0,2,39,50,40,13,18,2,2,0,4,0,0,0,1,3,4,2,14,22,0,5,2,14,0,2,0
1990-1999,79,0,38,90,68,36,18,31,0,0,85,73,49,40,36,20,21,35,0,19,0,1,2,54,43,30,20,32,15,13,0,22,14,0,11,0,16,15,5,24,38,0,9,4,15,0,8,0
2000-2009,6,0,5,168,178,97,2,43,0,0,103,124,87,59,88,10,18,78,0,39,0,0,2,47,19,33,1,72,37,44,0,44,31,1,36,0,44,9,2,2,4,0,16,20,1,0,3,0
2010-2019,13,0,2,194,177,337,2,51,0,0,148,150,142,83,169,10,18,104,0,52,0,0,1,42,16,14,10,62,123,55,1,85,53,1,81,1,39,15,2,10,10,0,35,14,2,0,15,6
2020-2029,0,0,0,2,1,9,0,2,0,0,4,4,7,3,9,0,0,1,0,4,0,0,0,1,0,0,0,1,0,4,0,1,1,0,9,0,0,0,0,1,1,0,1,1,0,0,0,0
Total,184,0,83,514,437,485,43,147,0,0,370,365,298,197,313,88,65,230,0,118,0,1,7,194,191,170,51,186,181,120,1,158,99,2,139,3,104,50,36,98,92,1,69,41,47,0,28,7
